"obs_datetime","temp","activ"
2014-12-12 08:40:00,36.33,0
2014-12-12 08:50:00,36.34,0
2014-12-12 09:00:00,36.35,0
2014-12-12 09:10:00,36.42,0
2014-12-12 09:20:00,36.55,0
2014-12-12 09:30:00,36.69,0
2014-12-12 09:40:00,36.71,0
2014-12-12 09:50:00,36.75,0
2014-12-12 10:00:00,36.81,0
2014-12-12 10:10:00,36.88,0
2014-12-12 10:20:00,36.89,0
2014-12-12 10:30:00,36.91,0
2014-12-12 10:40:00,36.85,0
2014-12-12 10:50:00,36.89,0
2014-12-12 11:00:00,36.89,0
2014-12-12 11:10:00,36.67,0
2014-12-12 11:20:00,36.5,0
2014-12-12 11:30:00,36.74,0
2014-12-12 11:40:00,36.77,0
2014-12-12 11:50:00,36.76,0
2014-12-12 12:00:00,36.78,0
2014-12-12 12:10:00,36.82,0
2014-12-12 12:20:00,36.89,0
2014-12-12 12:30:00,36.99,0
2014-12-12 12:40:00,36.92,0
2014-12-12 12:50:00,36.99,0
2014-12-12 13:00:00,36.89,0
2014-12-12 13:10:00,36.94,0
2014-12-12 13:20:00,36.92,0
2014-12-12 13:30:00,36.97,0
2014-12-12 13:40:00,36.91,0
2014-12-12 13:50:00,36.79,0
2014-12-12 14:00:00,36.77,0
2014-12-12 14:10:00,36.69,0
2014-12-12 14:20:00,36.62,0
2014-12-12 14:30:00,36.54,0
2014-12-12 14:40:00,36.55,0
2014-12-12 14:50:00,36.67,0
2014-12-12 15:00:00,36.69,0
2014-12-12 15:10:00,36.62,0
2014-12-12 15:20:00,36.64,0
2014-12-12 15:30:00,36.59,0
2014-12-12 15:40:00,36.65,0
2014-12-12 15:50:00,36.75,0
2014-12-12 16:00:00,36.8,0
2014-12-12 16:10:00,36.81,0
2014-12-12 16:20:00,36.87,0
2014-12-12 16:30:00,36.87,0
2014-12-12 16:40:00,36.89,0
2014-12-12 16:50:00,36.94,0
2014-12-12 17:00:00,36.98,0
2014-12-12 17:10:00,36.95,0
2014-12-12 17:20:00,37,0
2014-12-12 17:30:00,37.07,1
2014-12-12 17:40:00,37.05,0
2014-12-12 17:50:00,37,0
2014-12-12 18:00:00,36.95,0
2014-12-12 18:10:00,37,0
2014-12-12 18:20:00,36.94,0
2014-12-12 18:30:00,36.88,0
2014-12-12 18:40:00,36.93,0
2014-12-12 18:50:00,36.98,0
2014-12-12 19:00:00,36.97,0
2014-12-12 19:10:00,36.85,0
2014-12-12 19:20:00,36.92,0
2014-12-12 19:30:00,36.99,0
2014-12-12 19:40:00,37.01,0
2014-12-12 19:50:00,37.1,1
2014-12-12 20:00:00,37.09,0
2014-12-12 20:10:00,37.02,0
2014-12-12 20:20:00,36.96,0
2014-12-12 20:30:00,36.84,0
2014-12-12 20:40:00,36.87,0
2014-12-12 20:50:00,36.85,0
2014-12-12 21:00:00,36.85,0
2014-12-12 21:10:00,36.87,0
2014-12-12 21:20:00,36.89,0
2014-12-12 21:30:00,36.86,0
2014-12-12 21:40:00,36.91,0
2014-12-12 21:50:00,37.53,1
2014-12-12 22:00:00,37.23,0
2014-12-12 22:10:00,37.2,0
2014-12-12 22:30:00,37.25,1
2014-12-12 22:40:00,37.2,0
2014-12-12 22:50:00,37.21,0
2014-12-12 23:00:00,37.24,1
2014-12-12 23:10:00,37.1,0
2014-12-12 23:20:00,37.2,0
2014-12-12 23:30:00,37.18,0
2014-12-12 23:40:00,36.93,0
2014-12-12 23:50:00,36.83,0
2014-12-13 00:00:00,36.93,0
2014-12-13 00:10:00,36.83,0
2014-12-13 00:20:00,36.8,0
2014-12-13 00:30:00,36.75,0
2014-12-13 00:40:00,36.71,0
2014-12-13 00:50:00,36.73,0
2014-12-13 01:00:00,36.75,0
2014-12-13 01:10:00,36.72,0
2014-12-13 01:20:00,36.76,0
2014-12-13 01:30:00,36.7,0
2014-12-13 01:40:00,36.82,0
2014-12-13 01:50:00,36.88,0
2014-12-13 02:00:00,36.94,0
2014-12-13 02:10:00,36.79,0
2014-12-13 02:20:00,36.78,0
2014-12-13 02:30:00,36.8,0
2014-12-13 02:40:00,36.82,0
2014-12-13 02:50:00,36.84,0
2014-12-13 03:00:00,36.86,0
2014-12-13 03:10:00,36.88,0
2014-12-13 03:20:00,36.93,0
2014-12-13 03:30:00,36.97,0
2014-12-13 03:40:00,37.15,1
2014-11-03 09:30:00,36.58,0
2014-11-03 09:40:00,36.73,0
2014-11-03 09:50:00,36.93,0
2014-11-03 10:00:00,37.15,0
2014-11-03 10:10:00,37.23,0
2014-11-03 10:20:00,37.24,0
2014-11-03 10:30:00,37.24,0
2014-11-03 10:40:00,36.9,0
2014-11-03 10:50:00,36.95,0
2014-11-03 11:00:00,36.89,0
2014-11-03 11:10:00,36.95,0
2014-11-03 11:20:00,37,0
2014-11-03 11:30:00,36.9,0
2014-11-03 11:40:00,36.99,0
2014-11-03 11:50:00,36.99,0
2014-11-03 12:00:00,37.01,0
2014-11-03 12:10:00,37.04,0
2014-11-03 12:20:00,37.04,0
2014-11-03 12:30:00,37.14,0
2014-11-03 12:40:00,37.07,0
